employment_rate_overall,employment_rate_ft_perm,gross_monthly_median,salary_iqr,year,university,school,degree,career_value_index,cluster,pca_1,pca_2
84.9,75.6,3375.0,500.0,2017,Nanyang Technological University,College of Engineering,Bachelor of Engineering (Hons) (Materials Engineering),0.6262976027714562,3,-1.2514161762708889,-0.1814665768378469
82.7,74.9,3450.0,900.0,2017,Nanyang Technological University,College of Engineering,Bachelor of Engineering (Hons) (Mechanical Engineering),0.6024062255915419,3,-1.124851599182715,0.5916131364187188
88.5,54.0,2800.0,700.0,2017,Nanyang Technological University,College of Engineering,Bachelor of Fine Arts (Hons),0.5419906151829479,3,-2.0971865190155787,0.051887490868223446
84.6,67.7,3300.0,750.0,2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in Chinese,0.5865816738976536,3,-1.4768742609901602,0.34480990160791397
92.6,62.2,3000.0,725.0,2017,Nanyang Technological University,College of Engineering,Bachelor of Communication Studies (Hons),0.6071214788748693,3,-1.2813000354650035,-0.25183389184922966
84.7,75.5,3240.0,720.0,2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in Economics,0.6124448467650514,3,-1.203899416450601,0.05821313135060988
77.8,50.8,3000.0,500.0,2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in English,0.4739096446822873,3,-3.0941954676329004,0.6575017914405378
86.0,68.4,3200.0,600.0,2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in History,0.5974673631734142,3,-1.506960241779697,-0.039273547452890537
80.0,60.0,3100.0,900.0,2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in Linguistics And Multilingual Studies,0.5153402522562425,3,-2.188242926162129,0.9156255834284375
78.9,59.2,3200.0,610.0,2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in Psychology,0.5174594878762075,3,-2.4489523981506522,0.659311075899414
74.1,66.7,3395.0,590.0,2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in Public Policy And Global Affairs,0.5214617362202456,3,-2.4061866457453593,0.8703296674454257
77.6,62.1,3228.0,530.0,2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in Sociology,0.5223148955585905,3,-2.4699021372911156,0.5724708045959818
92.0,80.0,2950.0,535.0,2017,Nanyang Technological University,College of Sciences,Double Degree in Bachelor of Science (Hons) in Biomedical Sciences and Bachelor of Medicine (Chinese Medicine) #,0.6679095933396101,2,-0.7536701862859929,-0.9693832869666883
80.4,62.6,3200.0,500.0,2017,Nanyang Technological University,College of Sciences,Bachelor of Science (Hons) in Biological Sciences,0.542242628064133,3,-2.2653739951611875,0.3216116054221471
70.1,51.1,3100.0,688.0,2017,Nanyang Technological University,College of Sciences,Bachelor of Science (Hons) in Chemistry & Biological Chemistry,0.4233571522976452,3,-3.4974398628585384,1.4691806244542118
89.7,79.5,3500.0,700.0,2017,Nanyang Technological University,College of Sciences,Bachelor of Science (Hons) in Mathematical Sciences,0.6729450531020884,2,-0.4841997830893314,-0.22039508310436198
89.8,83.1,3400.0,762.0,2017,Nanyang Technological University,College of Sciences,Bachelor of Science (Hons) in Mathematics & Economics,0.6798103417530155,2,-0.34733893738131605,-0.2954016641065675
81.6,61.8,3300.0,819.0,2017,Nanyang Technological University,College of Sciences,Bachelor of Science (Hons) in Physics/Applied Physics,0.5440596782792502,3,-1.9130816327122375,0.7831434754445633
81.1,48.6,3450.0,1200.0,2017,Nanyang Technological University,Sports Science and Management,Bachelor of Science (Hons) (Sport Science & Management),0.49189064928911364,3,-2.136868538694373,1.788807200614531
100.0,100.0,3600.0,300.0,2017,Nanyang Technological University,National Institute of Education (NIE),Bachelor of Arts (Hons) (Education),0.8288025151743563,2,0.973405734255327,-1.8980022648113675
100.0,100.0,3701.0,458.0,2017,Nanyang Technological University,National Institute of Education (NIE),Bachelor of Science (Hons) (Education),0.8295840193200301,2,1.1504838949660838,-1.608480735801493
85.8,61.9,3000.0,600.0,2017,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,0.5637589005450273,3,-1.923682491299734,0.00944112833731857
88.2,66.7,3360.0,600.0,2017,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),0.6139408218908928,3,-1.2987037149010106,-0.03162626984285684
88.3,74.7,3300.0,750.0,2017,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,0.6358625436259416,3,-0.8903596004131366,-0.068073980495086
