employment_rate_overall,employment_rate_ft_perm,gross_monthly_median,salary_iqr,year,university,school,degree,career_value_index,cluster,pca_1,pca_2
92.1,81.6,3400.0,500.0,2018,Nanyang Technological University,College of Engineering,Environmental Engineering,0.6967173121460954,2,-0.4115590912767491,-0.7744322254472906
93.2,89.0,3750.0,640.0,2018,Nanyang Technological University,College of Engineering,Information Engineering & Media,0.7432045157345719,2,0.3105560666287126,-0.6073567906282126
93.3,90.0,3350.0,640.0,2018,Nanyang Technological University,College of Engineering,Maritime Studies,0.7281439727915172,2,0.10051502798261511,-0.8984758351094707
86.5,81.9,3500.0,800.0,2018,Nanyang Technological University,College of Engineering,Materials Engineering,0.6573392331188541,3,-0.5684836204241057,0.0630002878419479
85.6,81.1,3500.0,800.0,2018,Nanyang Technological University,College of Engineering,Mechanical Engineering,0.6485119806601108,3,-0.6735211214867113,0.14042123440117416
85.7,53.8,3000.0,700.0,2018,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",0.5321558831122183,3,-2.1987145955037226,0.36405398411227324
86.4,76.3,3500.0,518.0,2018,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,0.6443381126327683,3,-1.0088969598514823,-0.18780405691464497
95.0,84.2,3000.0,750.0,2018,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,0.699561080721868,2,-0.1554352099778586,-0.9292483681208155
90.1,84.0,3536.0,759.0,2018,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,0.6915856164140612,2,-0.19974899862834372,-0.2534473767057528
81.6,59.2,3000.0,900.0,2018,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,0.5184463789183784,3,-2.1590632713712288,0.769810686631195
74.4,56.4,3500.0,890.0,2018,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",History,0.4847267860157568,3,-2.531745124570227,1.6073475063788067
