k,Inertia,Silhouette Score,Calinski-Harabasz Score
2,3934.8440607260345,0.3032294988694052,676.6621444919616
3,2769.8678088886336,0.32393291096756965,783.54111442672
4,2401.3303286071696,0.26249639039422484,675.8285797496559
5,2127.3937325730108,0.25665929074735144,618.1007236794039
6,1911.1530592591396,0.26081028962663527,582.6157542538349
7,1732.1159313191918,0.2635085905957949,560.0962714237852
8,1580.4101547613886,0.26732057420632405,545.5013045123113
