Category,File Name,File Path,File Extension,File Size KB,Modified Time
Tables,bivariate_correlation_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/bivariate_correlation_summary.csv,.csv,1.42,2026-08-03 21:53:59
Tables,bivariate_university_outcome_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/bivariate_university_outcome_summary.csv,.csv,0.72,2026-08-03 21:53:57
Tables,bivariate_year_trend_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/bivariate_year_trend_summary.csv,.csv,0.73,2026-08-03 21:53:57
Tables,classification_confusion_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/classification_confusion_summary.csv,.csv,0.6,2026-08-03 21:54:43
Tables,classification_insight_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/classification_insight_summary.csv,.csv,0.67,2026-08-03 21:54:43
Tables,classification_leakage_control_design.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/classification_leakage_control_design.csv,.csv,0.36,2026-07-26 14:40:13
Tables,classification_leakage_control_insight_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/classification_leakage_control_insight_summary.csv,.csv,0.8,2026-07-26 14:40:16
Tables,classification_performance_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/classification_performance_summary.csv,.csv,1.57,2026-08-03 21:54:43
Tables,classification_preliminary_vs_leakage_controlled.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/classification_preliminary_vs_leakage_controlled.csv,.csv,2.0,2026-07-26 14:40:15
Tables,classification_target_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/classification_target_summary.csv,.csv,0.37,2026-08-03 21:54:42
Tables,cluster_interpretation_labels.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/cluster_interpretation_labels.csv,.csv,0.61,2026-08-03 21:54:51
Tables,cluster_profile_simple.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/cluster_profile_simple.csv,.csv,0.31,2026-08-03 21:54:51
Tables,cluster_profile_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/cluster_profile_summary.csv,.csv,1.25,2026-08-03 21:54:51
Tables,cluster_university_distribution_percent.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/cluster_university_distribution_percent.csv,.csv,0.32,2026-08-03 21:54:51
Tables,cluster_year_distribution_percent.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/cluster_year_distribution_percent.csv,.csv,0.26,2026-08-03 21:54:51
Tables,clustering_insight_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/clustering_insight_summary.csv,.csv,0.84,2026-08-03 21:54:51
Tables,clustering_k_selection_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/clustering_k_selection_summary.csv,.csv,0.45,2026-08-03 21:54:50
Tables,clustering_pca_explained_variance.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/clustering_pca_explained_variance.csv,.csv,0.11,2026-08-03 21:54:51
Tables,clustering_scaled_features.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/clustering_scaled_features.csv,.csv,110.68,2026-08-03 21:54:49
Tables,cvi_correlation_validation.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/cvi_correlation_validation.csv,.csv,0.87,2026-08-03 21:54:04
Tables,data_cleaning_log.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/data_cleaning_log.csv,.csv,0.83,2026-08-03 21:53:35
Tables,data_dictionary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/data_dictionary.csv,.csv,4.93,2026-08-03 21:53:44
Tables,dataset_overview.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/dataset_overview.csv,.csv,0.7,2026-08-03 21:53:44
Tables,eda_bivariate_insight_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/eda_bivariate_insight_summary.csv,.csv,1.14,2026-08-03 21:53:59
Tables,eda_coverage_insight_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/eda_coverage_insight_summary.csv,.csv,1.06,2026-08-03 21:53:49
Tables,eda_coverage_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/eda_coverage_summary.csv,.csv,0.27,2026-08-03 21:53:49
Tables,eda_evidence_checklist.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/eda_evidence_checklist.csv,.csv,0.79,2026-08-03 21:54:33
Tables,eda_findings_by_research_question.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/eda_findings_by_research_question.csv,.csv,3.71,2026-08-03 21:54:33
Tables,eda_multivariate_insight_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/eda_multivariate_insight_summary.csv,.csv,1.49,2026-08-03 21:54:02
Tables,eda_records_by_university.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/eda_records_by_university.csv,.csv,0.4,2026-08-03 21:53:49
Tables,eda_records_by_university_year.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/eda_records_by_university_year.csv,.csv,3.27,2026-08-03 21:53:49
Tables,eda_records_by_university_year_pivot.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/eda_records_by_university_year_pivot.csv,.csv,0.46,2026-08-03 21:53:49
Tables,eda_records_by_year.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/eda_records_by_year.csv,.csv,0.35,2026-08-03 21:53:49
