Variable,count,mean,std,min,25%,50%,75%,max
year,1550.0,2018.8851612903227,3.3499909628311877,2013.0,2016.0,2019.0,2022.0,2024.0
employment_rate_overall,1445.0,91.11730103806228,6.908114155615421,55.2,87.0,92.3,96.6,100.0
employment_rate_ft_perm,1445.0,81.74581314878894,14.230631663465953,14.3,74.1,84.7,92.7,100.0
basic_monthly_mean,1445.0,3819.41107266436,766.3732256087387,2000.0,3277.0,3646.0,4211.0,7051.0
basic_monthly_median,1445.0,3693.1446366782006,721.92657792423,1750.0,3200.0,3500.0,4000.0,7000.0
gross_monthly_mean,1445.0,3944.990311418685,794.281945388621,2100.0,3389.0,3772.0,4351.0,7244.0
gross_monthly_median,1445.0,3790.2989619377163,749.2947121690618,1800.0,3300.0,3600.0,4107.0,7000.0
gross_mthly_25_percentile,1445.0,3441.0006920415226,634.1928961293289,1500.0,3000.0,3350.0,3775.0,6500.0
gross_mthly_75_percentile,1445.0,4267.420761245675,925.2732763117937,2500.0,3600.0,4000.0,4750.0,9967.0
