scaled_employment_rate_overall,scaled_employment_rate_ft_perm,scaled_gross_monthly_median,scaled_salary_iqr
0.9097814387016607,1.0090315466580504,-0.5878213024699537,0.5840082090922388
0.8663392121579383,0.9809134356952439,-1.4556040583591638,-1.3372123521310055
-0.03146680307895671,0.27796066162506444,-1.0550889402564514,-0.05639864464884258
-0.5238120372411267,0.4044921609576965,-0.5210687827861683,0.5840082090922388
0.6056858528956138,0.9527953247324363,-0.3875637434185975,-0.23571256369634538
-1.4216180524780238,-0.9100295265535393,-0.888207641046988,-0.7565768047390916
-0.5527735216036076,0.23578349518085306,-0.7880788615213099,-0.05639864464884258
-0.11835125616639956,0.4536988551426093,-0.8214551213632025,-0.48333654714289687
0.5332821419894125,0.8473524086219094,-0.9215839008888806,-0.9529682398863566
0.14230210309592486,0.4747874383647145,-0.888207641046988,-0.48333654714289687
-0.016986060897717266,0.4888464938461183,-0.9215839008888806,-0.8248868691381404
-1.030638013584536,-0.017279503484411138,-1.0550889402564514,-1.1237434008839784
-0.7844653965034512,-0.15084053055774563,-0.7880788615213099,-0.8035399740134376
-1.24784914630314,-0.2000472247426574,-1.0550889402564514,-0.696805498389924
0.06989839218972353,0.5450827157717324,-0.9215839008888806,-0.696805498389924
0.6491280794393343,0.8122047699184004,-1.0550889402564514,-1.0170089252604648
-1.3781758259343033,-1.430214579365472,-1.7226141370943053,-0.48333654714289687
-0.8713498495908939,-0.08757478089142909,-1.0550889402564514,-0.2698675958958697
-0.24867793579756073,-0.15084053055774563,-1.0550889402564514,-0.5900710227664104
-0.1762742248913594,0.12331105132962475,-1.0550889402564514,-0.17380656783470752
-1.2188876619406592,-1.0154724426640662,-0.9215839008888806,-0.48333654714289687
-0.07490902962267916,-0.03133855896581493,-1.5557328378848418,-0.6050138493537024
-1.2623298884843797,-0.6991436943324855,-1.0550889402564514,-0.6861320508275727
-2.420789262983601,-1.8238681328447726,-0.9215839008888806,-0.6754586032652213
-0.06042828744143766,0.4677579106240131,-1.312753666235863,-1.1237434008839784
-1.8125980913715114,-0.959236220738452,-1.0550889402564514,-0.5900710227664104
-1.6388291851966277,-0.9029999988128369,-0.9215839008888806,-0.48333654714289687
-0.7410231699597307,0.13737010681102854,-1.0550889402564514,-0.16313312027235616
-1.494021763384225,-0.8819114155907317,-0.654573822153739,-0.696805498389924
-3.318595278220498,-1.591893717401613,-1.0550889402564514,-0.2698675958958697
1.286280735413907,1.283183128545421,-0.3902338442059489,-0.696805498389924
1.286280735413907,1.283183128545421,-0.3902338442059489,-1.3905795899427622
-0.9147920761346143,-0.8186456659244161,-1.322099018991593,-0.5260303373923023
-0.6541387168722899,-0.5023169175928354,-0.7880788615213099,-0.2698675958958697
-0.4369275841536859,-0.3476673072973957,-0.7880788615213099,-0.2698675958958697
-0.350043131066243,-0.0032204480030073495,-1.0550889402564514,-0.3339082812699779
0.5043206576269316,0.6013189376973466,-0.7880788615213099,0.37053925784521174
0.3160710092708085,0.5029055493275221,-1.4556040583591638,-1.0853189896595135
0.8808199543391798,0.8895295750661207,-1.322099018991593,-0.696805498389924
-0.3210816467037621,-0.27737202989037774,-0.988336420572666,-0.48333654714289687
0.18574432963964732,0.10925199584822097,-0.48769252294427556,0.37053925784521174
-0.3210816467037621,0.10925199584822097,-0.9482849087623948,-0.15672905173494533
-0.9437535604970952,0.06707482940401059,-0.02710013712615634,-0.12043933002295072
-0.27763942016004167,0.15142916229243233,-1.048413688288073,-0.05639864464884258
1.286280735413907,1.283183128545421,0.2799614534192565,-0.9102744496369511
-1.305772115028102,-1.9785177431402117,-1.5223565780429493,-0.48333654714289687
0.8228969856142179,1.0582382408429634,-1.0550889402564514,-0.9102744496369511
-0.27763942016004167,0.5239941325496272,-1.1885939796240224,-0.5281650269047726
-2.478712231708563,-1.528627967735297,-1.0550889402564514,-0.6327648130158159
0.30159026708956904,0.5802303544752414,-0.8214551213632025,-0.38941020859420494
0.7215317903455356,0.8684409918440146,-0.988336420572666,-1.1237434008839784
-0.3210816467037621,0.270931133884362,-0.7880788615213099,0.30649857247110357
-0.379004615428724,0.43963979966120553,-0.7880788615213099,-0.48333654714289687
-0.7120616855972498,-0.41093305696371124,-1.0550889402564514,-1.0170089252604648
0.38847472017700985,0.4044921609576965,-0.9082333969521236,-0.696805498389924
0.40295546235825136,0.7489390202520849,-0.7880788615213099,-0.05639864464884258
-0.03146680307895671,0.4326102719205041,-1.0550889402564514,-1.2091309813827893
-0.2921201623412832,0.38340357773559136,-0.7547026016794172,-0.696805498389924
1.1125118292390233,1.1566516292127889,1.6150118470949644,1.0109461115862932
1.286280735413907,1.283183128545421,0.9474866502571104,-0.2698675958958697
0.9242621808829002,1.107444935027876,-1.1218414599402369,-1.0170089252604648
1.286280735413907,1.283183128545421,-1.0217126804145586,-1.3372123521310055
0.8953006965204192,1.0933858795464722,-1.1885939796240224,-0.36592862395703196
-1.4795410212029836,-1.1701220529595058,-1.322099018991593,-0.9102744496369511
-1.088560982309498,-0.5444940840370457,-0.9215839008888806,-0.4150264827438482
0.764974016889258,1.0301201298801568,-0.3875637434185975,-0.9102744496369511
0.44639768890197173,0.8051752421776991,-1.2887227591497004,-0.20582691052176158
0.5912051107143744,0.9457657969917349,-1.0550889402564514,0.4772737334687253
0.30159026708956904,0.39043310547629273,-0.7880788615213099,0.2638047822216981
0.6925703059830567,0.8473524086219094,-0.28075971192454086,0.5840082090922388
-0.07490902962267916,0.4818169661054159,-0.6025068568003865,-0.05639864464884258
0.4174362045394908,0.8614114641033132,-0.2540587040510267,-0.16313312027235616
0.3595132358145289,0.5450827157717324,-0.654573822153739,-0.05639864464884258
1.286280735413907,0.643496104141558,0.0129513746841149,-0.696805498389924
-0.6686194590535294,-0.13678147507634186,-1.0550889402564514,-0.2271738056464643
-0.5238120372411267,0.10925199584822097,-0.7880788615213099,0.32998015710827655
1.286280735413907,1.283183128545421,1.6150118470949644,1.4378840140803475
1.286280735413907,1.283183128545421,2.3452844124355767,1.7580874409508882
1.0256273761515824,0.9738839079545415,-0.654573822153739,0.5840082090922388
0.793935501251737,1.0090315466580504,-1.2686970032445648,-1.1237434008839784
-0.21971645143508184,-0.10866336411353428,-0.9215839008888806,-0.05639864464884258
0.25814804054584867,0.5310236602903287,-0.4543162631023829,-0.12470870904789128
-1.6388291851966277,-0.8467637768872227,-1.0550889402564514,-0.5367037849546537
-1.0595994979470171,-0.39687400148230845,-0.5210687827861683,-0.9636416874487079
0.040936907827244635,0.4958760215868197,-0.5210687827861683,-0.48333654714289687
0.38847472017700985,0.7840866589555938,-0.9215839008888806,-1.1237434008839784
0.48983991544569216,0.840322880881208,-0.7880788615213099,-0.2698675958958697
-0.06042828744143766,0.4677579106240131,-0.7880788615213099,-0.696805498389924
-0.3210816467037621,0.03192719070050162,-1.0550889402564514,-0.696805498389924
-0.7844653965034512,-0.6007303059626599,-0.7880788615213099,-0.48333654714289687
-1.24784914630314,-0.28440155763107916,-0.8548313812050953,-0.8889275545122485
-0.132831998347639,0.42558074417980174,-0.9215839008888806,-0.696805498389924
0.20022507182088678,0.7559685479927862,-0.988336420572666,-0.696805498389924
-1.6098677008341469,-0.9662657484791535,-1.4556040583591638,-0.2698675958958697
-0.6251772325098089,-0.41796258470441366,-1.0550889402564514,-0.48333654714289687
-0.6396579746910485,-0.27034250214967537,-1.0550889402564514,-0.2826757329706914
-0.350043131066243,-0.23519486344616639,-0.7880788615213099,-0.696805498389924
-0.596215748147328,-1.3177421355142431,-0.9215839008888806,0.7761302652145633
-0.7844653965034512,-1.0576496091082765,-0.7480273497110387,-0.2698675958958697
-3.5358064109391023,-1.8871338825110886,-0.9215839008888806,-0.2698675958958697
-2.5945581691584847,-0.9732952762198548,-0.9215839008888806,-0.7821930788887349
1.286280735413907,1.283183128545421,-1.1885939796240224,-0.45345089396831306
-2.319424067714921,-1.472391745809683,-1.0550889402564514,-0.48333654714289687
-1.5374639899279454,-0.9451771652570482,-0.9215839008888806,-0.48333654714289687
-0.39348535760996345,0.36934452225418757,-0.7880788615213099,-0.2698675958958697
0.02645616564600313,-0.14381100281704323,-0.7880788615213099,-0.696805498389924
-2.5221544582522832,-1.3036830800328394,-0.9215839008888806,-0.14178622514765343
-0.4658890685161648,-0.8467637768872227,-1.0550889402564514,0.13572341147348185
1.286280735413907,1.283183128545421,-0.4209400032604902,-1.0170089252604648
1.286280735413907,1.283183128545421,-0.4209400032604902,-1.1237434008839784
-1.334733599390581,-1.156062997478102,-1.322099018991593,-0.6754586032652213
-1.1609646932156994,-0.3617263627787995,-0.654573822153739,-0.48333654714289687
-0.350043131066243,-0.11569289185423666,-0.7213263418375244,-0.48333654714289687
-0.4658890685161648,0.13034057907032615,-1.0550889402564514,-0.696805498389924
0.4753591732644527,0.6224075209194517,-0.3608627355450833,0.5840082090922388
0.40295546235825136,0.5661712989938377,-1.271367104031916,-1.1237434008839784
1.286280735413907,1.0230906021394544,-1.1725733748999136,-0.02651299147425878
-1.305772115028102,0.02489766295979923,-0.9376045056129891,-0.9102744496369511
-0.07490902962267916,0.29201971710646824,-0.3875637434185975,-0.2698675958958697
-0.7844653965034512,0.27796066162506444,-0.7880788615213099,-0.696805498389924
0.6346473372580949,0.7208209092892773,-0.3875637434185975,0.24032319758452517
1.286280735413907,1.283183128545421,0.2799614534192565,-1.7214564643756542
1.0545888605140634,0.9457657969917349,0.6471003116800762,-0.16313312027235616
-2.0008477397276345,-1.591893717401613,-1.6358358615053845,-0.05639864464884258
0.6056858528956138,0.8684409918440146,-1.0550889402564514,-0.7821930788887349
0.2871095249083276,0.5239941325496272,-1.0550889402564514,-0.5900710227664104
-0.5238120372411267,-0.3265787240752905,-1.0550889402564514,-0.48333654714289687
-1.0451187557657755,-0.3757854182602023,-0.654573822153739,-0.3766020715193833
0.8663392121579383,1.0793268240650684,-0.7773984583719042,-0.696805498389924
0.5912051107143744,0.7489390202520849,-0.3875637434185975,0.11437651634877914
-0.07490902962267916,0.4466693274019069,-0.654573822153739,-0.05639864464884258
-1.4216180524780238,-1.3528897742177521,-0.5210687827861683,-0.66478515570287
0.5912051107143744,0.7840866589555938,-0.7480273497110387,-0.8633112803626052
0.7794547590704975,1.037149657620858,-0.2540587040510267,-0.05639864464884258
-1.8125980913715114,-0.5585531395184495,-0.654573822153739,-0.48333654714289687
-0.16179348271011995,0.4747874383647145,-0.7880788615213099,-0.696805498389924
1.0256273761515824,1.1144744627685774,1.8152694061463206,0.37053925784521174
1.286280735413907,1.283183128545421,1.6150118470949644,-0.2698675958958697
1.286280735413907,0.9738839079545415,-0.7880788615213099,-1.0468945784350485
1.286280735413907,1.283183128545421,-0.3875637434185975,-1.0597027155098702
0.6346473372580949,0.0038090797376940455,-1.322099018991593,-0.9102744496369511
-2.073251450633836,-1.430214579365472,-1.0550889402564514,-0.696805498389924
-0.6541387168722899,-0.41796258470441366,-0.7747283575845528,-0.3766020715193833
1.1269925714202649,1.0512087131022618,-0.21400719224075546,-0.6327648130158159
0.3595132358145289,0.6786437428450669,-1.2219702394659149,0.1399927904984224
0.9097814387016607,1.0090315466580504,-0.3875637434185975,1.277782300645077
-0.03146680307895671,0.3271673558099772,-0.6105171591624408,0.37053925784521174
0.48983991544569216,0.8614114641033132,-0.2540587040510267,1.0109461115862932
-0.132831998347639,0.15142916229243233,-0.3875637434185975,-0.003031406837085795
-0.07490902962267916,0.5169646048089248,0.0129513746841149,0.4772737334687253
0.25814804054584867,-0.08054525315072769,-0.5878213024699537,0.37053925784521174
0.9097814387016607,0.17251774551453752,0.34671397310304186,0.4559268383440226
-0.03146680307895671,0.16548821777383513,-1.0550889402564514,-0.09909243489824801
-0.5238120372411267,-0.03133855896581493,-0.2674092079877838,0.2744782297840495
0.9677044074266206,0.9738839079545415,1.6483881069368571,1.1176805872098068
0.9532236652453812,1.1215039905092798,2.6830521620355308,0.797477160339266
1.286280735413907,0.3482559390320824,-1.4556040583591638,-1.2838451143192486
-0.07490902962267916,0.18657680099594132,-1.5891090977267346,-0.515356889829951
1.286280735413907,1.283183128545421,-1.0884652000983441,-1.177110638695735
1.286280735413907,1.283183128545421,-1.0550889402564514,-0.48333654714289687
-0.2921201623412832,-0.24222439118686878,-1.7226141370943053,-0.9102744496369511
0.40295546235825136,0.643496104141558,-1.7226141370943053,-0.8526378328002538
-0.14731274052888052,0.1936063287366427,-0.654573822153739,-0.3766020715193833
