,employment_rate_overall,employment_rate_ft_perm,employment_premium,gross_monthly_median,salary_iqr,salary_premium,stability_score,career_value_index
employment_rate_overall,1.0,0.7176682176477128,-0.3163504633003677,0.18184388590400832,0.034942199368383074,0.07275197019304536,-0.034942199368382124,0.8590260495849407
employment_rate_ft_perm,0.7176682176477128,1.0,-0.8876551818826623,0.3139639118375667,0.057715461862288646,0.07477353046826678,-0.05771546186228874,0.9125153410365157
employment_premium,-0.3163504633003677,-0.8876551818826623,1.0,-0.3074430431068396,-0.05551546327499521,-0.05374959851160003,0.05551546327499589,-0.6750025114854247
gross_monthly_median,0.18184388590400832,0.3139639118375667,-0.3074430431068396,1.0,0.5396178176572799,0.0709002105541027,-0.5396178176572792,0.5219641332996376
salary_iqr,0.034942199368383074,0.057715461862288646,-0.05551546327499521,0.5396178176572799,1.0,0.6080792722215844,-1.0000000000000013,0.1154608314850985
salary_premium,0.07275197019304536,0.07477353046826678,-0.05374959851160003,0.0709002105541027,0.6080792722215844,1.0,-0.6080792722215838,0.022382048043147963
stability_score,-0.034942199368382124,-0.05771546186228874,0.05551546327499589,-0.5396178176572792,-1.0000000000000013,-0.6080792722215838,1.0,-0.11546083148509784
career_value_index,0.8590260495849407,0.9125153410365157,-0.6750025114854247,0.5219641332996376,0.1154608314850985,0.022382048043147963,-0.11546083148509784,1.0
