university,employment_rate_overall,employment_rate_ft_perm,employment_premium,gross_monthly_median,salary_iqr,stability_score,career_value_index
Nanyang Technological University,0.0,0.0,0.6393442622950816,0.0,0.16666666666666666,0.8333333333333335,0.0
National University of Singapore,0.48979591836734604,0.5775862068965523,0.13114754098360723,0.4,0.25,0.7500000000000002,0.5278048295370406
Singapore Institute of Technology,0.48979591836734604,0.4137931034482758,0.5409836065573776,0.0,0.0,1.0,0.5053674471523879
Singapore Management University,1.0,1.0,0.0,1.0,1.0,0.0,1.0
Singapore University of Social Sciences,0.18367346938775367,0.10344827586206926,1.0,0.0,0.0,1.0,0.2036841591040147
Singapore University of Technology and Design,0.4081632653061232,0.6336206896551723,0.08196721311475524,1.0,0.45,0.55,0.7175811494909401
